Country,Clicks,Impressions,CTR,Position
ind,149,3586,0.04155047406581149,9.889291689905187
jpn,132,3638,0.03628367234744365,10.509070918086861
usa,33,23505,0.0014039566049776644,34.03501382684535
esp,23,1703,0.013505578391074574,14.452143276570757
gbr,23,3796,0.006059009483667018,19.992887249736565
fra,10,501,0.01996007984031936,21.890219560878243
tur,9,196,0.04591836734693878,10.387755102040817
aus,8,599,0.01335559265442404,22.823038397328883
bel,8,193,0.04145077720207254,7.300518134715026
can,8,724,0.011049723756906077,13.334254143646408
deu,7,855,0.008187134502923977,21.150877192982456
pak,7,399,0.017543859649122806,9.348370927318296
bgd,6,147,0.04081632653061224,12.687074829931973
ita,5,469,0.010660980810234541,15.298507462686567
vnm,5,327,0.01529051987767584,19.642201834862384
irn,4,50,0.08,8.68
rus,4,75,0.05333333333333334,10.173333333333334
bgr,3,59,0.05084745762711865,7.694915254237288
col,3,189,0.015873015873015872,11.37037037037037
grc,3,89,0.033707865168539325,8.022471910112358
mex,3,448,0.006696428571428571,11.738839285714286
nld,3,403,0.007444168734491315,24.558312655086848
pol,3,314,0.009554140127388535,26.62420382165605
sgp,3,182,0.016483516483516484,18.46153846153846
arg,2,249,0.008032128514056224,13.57429718875502
aut,2,67,0.029850746268656716,10.716417910447761
bra,2,598,0.0033444816053511705,11.954849498327759
cze,2,72,0.027777777777777776,10.11111111111111
hun,2,128,0.015625,11.90625
ltu,2,40,0.05,6.95
are,1,86,0.011627906976744186,7.825581395348837
blr,1,25,0.04,12.84
che,1,126,0.007936507936507936,17.11111111111111
chn,1,23,0.043478260869565216,12.043478260869565
cyp,1,25,0.04,7.2
egy,1,134,0.007462686567164179,14.17910447761194
fin,1,41,0.024390243902439025,14.951219512195122
gha,1,33,0.030303030303030304,3.9696969696969697
gnq,1,3,0.3333333333333333,4.666666666666666
hkg,1,71,0.014084507042253521,10.408450704225352
hnd,1,13,0.07692307692307693,16.923076923076923
isl,1,5,0.2,6.4
