Country,Active users,New users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Total revenue
China,149,149,2,0.013422818791946308,49,459,0
India,65,42,76,0.65517241379310343,12521,1340,0
United States,26,22,12,0.34285714285714286,1289,279,238.2
Japan,25,24,15,0.5,734,159,0
United Kingdom,13,13,9,0.6,315,108,0
Spain,12,10,12,0.75,527,88,0
Germany,11,8,9,0.6428571428571429,263,80,0
Netherlands,5,2,3,0.6,181,34,0
Iran,4,1,3,0.75,330,48,0
Italy,4,3,3,0.6,237,47,0
Russia,4,4,5,1,888,42,0
Belgium,3,2,2,0.66666666666666663,86,14,0
Canada,3,3,4,0.8,791,54,0
France,3,3,3,0.42857142857142855,64,22,0
Indonesia,3,3,4,0.8,120,43,0
Sweden,3,3,2,0.5,129,32,0
,2,2,0,0,0,110,0
Argentina,2,2,2,1,138,10,0
Greece,2,0,2,0.66666666666666663,39,12,0
Hungary,2,1,3,1,577,42,0
Israel,2,1,2,0.66666666666666663,111,47,0
Philippines,2,2,0,0,1,9,0
Portugal,2,2,2,1,559,35,0
Romania,2,2,0,0,18,8,0
South Africa,2,2,3,1,53,27,0
Bangladesh,1,1,1,1,10,4,0
Brazil,1,1,1,0.33333333333333331,36,12,0
Cambodia,1,1,1,1,17,8,0
Dominican Republic,1,1,0,0,0,3,0
Ecuador,1,0,1,1,128,6,0
Egypt,1,1,0,0,3,4,0
Finland,1,0,0,0,0,6,0
Guatemala,1,1,1,1,22,10,0
Hong Kong,1,1,1,1,35,5,0
Ireland,1,1,1,1,20,10,0
Jordan,1,1,0,0,2,4,0
Mexico,1,1,0,0,0,3,0
Moldova,1,1,1,1,16,8,0
New Zealand,1,1,0,0,0,5,0
Nigeria,1,1,1,0.5,5,7,0
Pakistan,1,1,1,1,18,4,0
Saudi Arabia,1,1,1,1,18,6,0
Singapore,1,1,1,0.5,609,9,0
South Korea,1,1,1,1,127,16,0
Taiwan,1,0,0,0,2,7,0
Türkiye,1,1,0,0,5,4,0
United Arab Emirates,1,1,1,0.5,12,6,0
Uruguay,1,1,0,0,0,3,0
Colombia,0,0,0,0,0,4,0
Costa Rica,0,0,0,0,0,2,0
Switzerland,0,0,0,0,0,2,0
