country,activeUsers,newUsers,engagedSessions,engagementRate,averageSessionDuration,eventCount,totalRevenue
China,149,149,2,0.013422818791946308,2.5065116308724833,459,0
India,65,42,76,0.65517241379310343,502.92342268965518,1340,0
United States,26,22,12,0.34285714285714286,291.89603788571429,279,238.2
Japan,25,24,15,0.5,81.738105866666672,159,0
United Kingdom,13,13,9,0.6,124.2979056,108,0
Spain,12,10,12,0.75,117.2135038125,88,0
Germany,11,8,9,0.6428571428571429,179.7738327142857,80,0
Netherlands,5,2,3,0.6,338.330675,34,0
Iran,4,1,3,0.75,332.44948725,48,0
Italy,4,3,3,0.6,119.85385779999999,47,0
Russia,4,4,5,1,281.770638,42,0
Belgium,3,2,2,0.66666666666666663,45.449443,14,0
Canada,3,3,4,0.8,544.3614454,54,0
France,3,3,3,0.42857142857142855,45.514539428571425,22,0
Indonesia,3,3,4,0.8,381.612257,43,0
Sweden,3,3,2,0.5,148.76889525,32,0
,2,2,0,0,0,110,0
Argentina,2,2,2,1,408.607761,10,0
Greece,2,0,2,0.66666666666666663,380.044955,12,0
Hungary,2,1,3,1,325.06316566666663,42,0
Israel,2,1,2,0.66666666666666663,472.90637999999996,47,0
Philippines,2,2,0,0,0.213442,9,0
Portugal,2,2,2,1,544.060147,35,0
Romania,2,2,0,0,9.5081455,8,0
South Africa,2,2,3,1,199.56787799999998,27,0
Bangladesh,1,1,1,1,128.407756,4,0
Brazil,1,1,1,0.33333333333333331,4.9784713333333332,12,0
Cambodia,1,1,1,1,18.056172,8,0
Dominican Republic,1,1,0,0,0,3,0
Ecuador,1,0,1,1,128.276789,6,0
Egypt,1,1,0,0,3.10036,4,0
Finland,1,0,0,0,6.3955485,6,0
Guatemala,1,1,1,1,1693.910705,10,0
Hong Kong,1,1,1,1,36.154533,5,0
Ireland,1,1,1,1,229.199223,10,0
Jordan,1,1,0,0,1.84824,4,0
Mexico,1,1,0,0,0,3,0
Moldova,1,1,1,1,19.071739,8,0
New Zealand,1,1,0,0,0,5,0
Nigeria,1,1,1,0.5,5.0905235,7,0
Pakistan,1,1,1,1,34.450049,4,0
Saudi Arabia,1,1,1,1,19.630665,6,0
Singapore,1,1,1,0.5,1297.219357,9,0
South Korea,1,1,1,1,2992.429021,16,0
Taiwan,1,0,0,0,3.7134995,7,0
Türkiye,1,1,0,0,5.357555,4,0
United Arab Emirates,1,1,1,0.5,27.1886185,6,0
Uruguay,1,1,0,0,0,3,0
Colombia,0,0,0,0,0,4,0
Costa Rica,0,0,0,0,0,2,0
Switzerland,0,0,0,0,0,2,0
