session source / medium,new users,sessions,engagement rate,average engagement time per session,bounce rate,engaged sessions,purchase revenue,clicks,impressions,ctr,position,errors
(direct) / (none),119,128,0.28125,50.727350421875,0.71875,36,0.0,0,0,0,0,
(not set),52,85,0.2941176470588235,150.9700546588235,0.7058823529411765,25,836.2,0,0,0,0,
google / organic,44,59,0.711864406779661,201.56542833898305,0.288135593220339,42,0.0,0,0,0,0,
(data not available),13,13,0.8461538461538461,413.2780606153846,0.1538461538461538,11,0.0,0,0,0,0,
bing / organic,5,5,0.6,587.7573015999999,0.4,3,0.0,0,0,0,0,
youtube.com / referral,4,4,0.75,172.31256900000002,0.25,3,0.0,0,0,0,0,
rss / rss,3,3,0.3333333333333333,3.647784,0.6666666666666666,1,0.0,0,0,0,0,
ig / social,2,2,1.0,85.0858535,0.0,2,0.0,0,0,0,0,
wordpress / plugin,2,2,1.0,958.3474375,0.0,2,0.0,0,0,0,0,
wordpress.org / referral,2,2,0.5,12.3651505,0.5,1,0.0,0,0,0,0,
yandex.ru / referral,2,2,0.0,4.5501,1.0,0,0.0,0,0,0,0,
(not set) / readme,1,1,0.0,0.0,1.0,0,0.0,0,0,0,0,
aeb_old.de / referral,1,1,1.0,865.18521,0.0,1,0.0,0,0,0,0,
cl.search.yahoo.com / referral,1,1,1.0,40.985538,0.0,1,0.0,0,0,0,0,
conceptwashroom.co.uk / referral,1,1,0.0,7.007319,1.0,0,0.0,0,0,0,0,
custom.wzhbuild.com / referral,1,1,1.0,94.024826,0.0,1,0.0,0,0,0,0,
en-gb.wordpress.org / referral,1,2,0.5,7.0618145,0.5,1,0.0,0,0,0,0,
fb / post,1,1,0.0,4.66069,1.0,0,0.0,0,0,0,0,
fullmeasur2dev.wpenginepowered.com / referral,1,1,1.0,16.986578,0.0,1,0.0,0,0,0,0,
l.facebook.com / referral,1,3,0.6666666666666666,54.812333333333335,0.3333333333333333,2,0.0,0,0,0,0,
legalaffairsbureau.md.go.th / referral,1,1,1.0,18.761082,0.0,1,0.0,0,0,0,0,
magicgros.com / referral,1,1,1.0,445.212567,0.0,1,0.0,0,0,0,0,
melbournephysiogroup.com.au / referral,1,1,0.0,3.061716,1.0,0,0.0,0,0,0,0,
neu.sv-halle-leichtathletik.de / referral,1,1,0.0,2.795543,1.0,0,0.0,0,0,0,0,
new-michalskapa.cz / referral,1,1,1.0,415.249473,0.0,1,0.0,0,0,0,0,
onelectromarket.com / referral,1,1,0.0,5.665418,1.0,0,0.0,0,0,0,0,
onmycanvas.com / referral,1,1,1.0,186.66052,0.0,1,0.0,0,0,0,0,
plugin / wordpress,1,4,0.75,787.2666982500001,0.25,3,0.0,0,0,0,0,
secretosdelagua.com / referral,1,1,0.0,0.0,1.0,0,0.0,0,0,0,0,
sharpdecoration.com / referral,1,1,1.0,45.62886,0.0,1,0.0,0,0,0,0,
staging9.kombatants.com / referral,1,3,0.6666666666666666,168.27669799999998,0.3333333333333333,2,0.0,0,0,0,0,
viafirma.com.co / referral,1,1,1.0,54.088698,0.0,1,0.0,0,0,0,0,
web / wp_org,1,1,0.0,0.0,1.0,0,0.0,0,0,0,0,
website / sm_cta,1,1,0.0,0.0,1.0,0,0.0,0,0,0,0,
dashboard.stripe.com / referral,0,2,0.5,526.86347,0.5,1,0.0,0,0,0,0,
kulfoldingatlan.com / referral,0,1,0.0,9.704259,1.0,0,0.0,0,0,0,0,
lead_builder_free / plugin,0,2,0.5,99.7295625,0.5,1,0.0,0,0,0,0,
meishin-edu.jp / referral,0,1,0.0,7.515567,1.0,0,0.0,0,0,0,0,
stroykrep.pro / referral,0,1,0.0,4.939214,1.0,0,0.0,0,0,0,0,
unm.edu.ar / referral,0,1,1.0,850.467873,0.0,1,0.0,0,0,0,0,
website / cta_banner,0,4,0.75,188.8761805,0.25,3,0.0,0,0,0,0,
wpbrigade / deals,0,1,1.0,1141.0188,0.0,1,0.0,0,0,0,0,
youtube / video,0,1,0.0,0.0,1.0,0,0.0,0,0,0,0,
