country,clicks,impressions,ctr,position,errors
usa,33,23505,0.0014039566049776,34.03501382684535,
gbr,23,3796,0.006059009483667,19.992887249736565,
jpn,132,3638,0.0362836723474436,10.50907091808686,
ind,149,3586,0.0415504740658114,9.889291689905187,
esp,23,1703,0.0135055783910745,14.452143276570755,
deu,7,855,0.0081871345029239,21.150877192982456,
can,8,724,0.011049723756906,13.334254143646408,
aus,8,599,0.013355592654424,22.823038397328883,
bra,2,598,0.0033444816053511,11.95484949832776,
fra,10,501,0.0199600798403193,21.890219560878243,
ita,5,469,0.0106609808102345,15.298507462686567,
mex,3,448,0.0066964285714285,11.738839285714286,
idn,0,418,0.0,9.169856459330145,
nld,3,403,0.0074441687344913,24.558312655086848,
pak,7,399,0.0175438596491228,9.348370927318296,
phl,0,387,0.0,14.196382428940568,
vnm,5,327,0.0152905198776758,19.642201834862384,
pol,3,314,0.0095541401273885,26.62420382165605,
tha,1,290,0.0034482758620689,17.713793103448275,
mys,0,253,0.0,17.711462450592887,
arg,2,249,0.0080321285140562,13.57429718875502,
chl,0,201,0.0,10.656716417910449,
kor,1,198,0.005050505050505,21.707070707070702,
tur,9,196,0.0459183673469387,10.387755102040815,
bel,8,193,0.0414507772020725,7.300518134715026,
col,3,189,0.0158730158730158,11.37037037037037,
sgp,3,182,0.0164835164835164,18.46153846153846,
zaf,1,167,0.0059880239520958,11.718562874251496,
isr,0,163,0.0,20.257668711656443,
nga,0,154,0.0,10.402597402597404,
bgd,6,147,0.0408163265306122,12.687074829931973,
egy,1,134,0.0074626865671641,14.17910447761194,
hun,2,128,0.015625,11.90625,
che,1,126,0.0079365079365079,17.11111111111111,
ukr,1,119,0.0084033613445378,17.45378151260504,
per,0,104,0.0,12.39423076923077,
swe,0,103,0.0,12.631067961165048,
rou,0,94,0.0,8.904255319148936,
grc,3,89,0.0337078651685393,8.022471910112358,
are,1,86,0.0116279069767441,7.825581395348837,
ecu,0,84,0.0,10.702380952380953,
mar,0,84,0.0,9.666666666666666,
sau,0,80,0.0,10.3375,
ven,0,80,0.0,7.3875,
twn,0,78,0.0,7.089743589743589,
rus,4,75,0.0533333333333333,10.173333333333334,
cze,2,72,0.0277777777777777,10.11111111111111,
prt,0,72,0.0,7.625,
hkg,1,71,0.0140845070422535,10.408450704225352,
aut,2,67,0.0298507462686567,10.71641791044776,
irl,0,66,0.0,11.075757575757576,
nor,1,63,0.0158730158730158,10.88888888888889,
dza,0,60,0.0,14.65,
bgr,3,59,0.0508474576271186,7.694915254237288,
dnk,0,59,0.0,29.440677966101696,
ken,0,56,0.0,8.517857142857142,
lka,0,56,0.0,5.017857142857143,
svk,0,52,0.0,6.173076923076923,
irn,4,50,0.08,8.68,
hrv,0,48,0.0,8.541666666666668,
