landingpage,activeusers,newusers,totalrevenue,bouncerate,averagesessionduration,sessions,clicks,impressions,ctr,position,errors
/,59,54,0.0,0.4915254237288135,134.1005584237288,59,0,0,0,0,
/wp-ultimate-csv-importer-pro.html,49,45,0.0,0.5185185185185184,176.85807755555555,54,0,0,0,0,
(not set),16,0,298.0,1.0,0.0961184375,16,0,0,0,0,
/blog/wordpress-ultimate-csv-importer-csv-sample-files-and-updates.html,13,10,0.0,0.4285714285714285,300.87345721428574,14,0,0,0,0,
/my-account.html,11,8,0.0,0.3076923076923077,128.08918007692307,13,0,0,0,0,
,5,0,538.2,0.9,86.6950434,10,0,0,0,0,
/404.html,5,5,0.0,1.0,0.0,5,0,0,0,0,
/blog/add-external-urls-to-featured-images-wordpress.html,4,3,0.0,0.4285714285714285,62.20961185714286,7,0,0,0,0,
/blog/how-to-install-ioncube-loaders-simple-steps-for-various-hosting-types.html,4,4,0.0,0.75,591.327955,4,0,0,0,0,
/deals.html,4,2,0.0,0.4,343.127664,5,0,0,0,0,
/es/blog/como-importar-archivos-csv-a-wordpress-de-manera-eficiente.html,4,4,0.0,0.0,386.7044495,4,0,0,0,0,
/ja/documentation/wp-ultimate-csv-importer/acf-import,4,3,0.0,0.0,108.68662675,4,0,0,0,0,
/blog/export-import-advanced-custom-fields-csv-wordpress.html,3,3,0.0,1.0,2.702989666666667,3,0,0,0,0,
/blog/how-to-import-csv-file-in-wordpress-without-plugin.html,3,3,0.0,1.0,0.0,3,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/how-to-import-csv,3,3,0.0,0.3333333333333333,11.736804333333334,3,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-and-export-nextgen-gallery-images,3,3,0.0,0.3333333333333333,50.181905666666665,3,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/troubleshooting-guide,3,1,0.0,0.0,188.515318,3,0,0,0,0,
/ja/blog/add-external-urls-to-featured-images-wordpress.html,3,3,0.0,0.0,497.29838566666666,3,0,0,0,0,
/ja/blog/enable-configure-wp-cron.html,3,3,0.0,0.3333333333333333,527.961909,3,0,0,0,0,
/aio-wp-media-library-manager.html,2,2,0.0,0.5,6.4498025,2,0,0,0,0,
/blog/create-custom-taxonomies-with-acf.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/blog/enable-configure-wp-cron.html,2,2,0.0,0.6666666666666666,72.302325,3,0,0,0,0,
/blog/how-to-import-page-to-wordpress.html,2,2,0.0,1.0,3.008174,2,0,0,0,0,
/blog/how-to-install-wamp-and-xampp.html,2,2,0.0,0.5,274.8433345,2,0,0,0,0,
/blog/import-export-listings-business-directory-plugins.html,2,2,0.0,0.5,24.751958,2,0,0,0,0,
/blog/woocommerce-inventory-management.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/blog/wordpress-security-best-practices.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/blog/wordpress-security-checklist.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/blog/wordpress-seo-plugins.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/cart.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/checkout.html,2,1,0.0,0.0,52.9535495,2,0,0,0,0,
/checkout.html/order-received/334782794,2,2,0.0,0.0,0.0209445,2,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro,2,2,0.0,0.6666666666666666,32.734168000000004,3,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-data-from-excel-to-wordpress,2,2,0.0,1.0,0.0,2,0,0,0,0,
/easy-inventory-and-stock-manager-for-woocommerce.html,2,2,0.0,0.0,28.369737,2,0,0,0,0,
/es/blog.html,2,2,0.0,1.0,4.318765,2,0,0,0,0,
/es/blog/como-anadir-urls-externas-a-las-imagenes-destacadas-en-wordpress.html,2,2,0.0,1.0,0.0,2,0,0,0,0,
/es/blog/como-exportar-e-importar-campos-personalizados-avanzados.html,2,2,0.0,1.0,2.710829,2,0,0,0,0,
/es/blog/ejemplos-de-archivos-csv-y-xml-para-la-importacion-de-prueba-wp-ultimate-csv-xml-importer.html,2,2,0.0,0.0,112.8102795,2,0,0,0,0,
/ha-nav-content/ha-megamenu-content-69899,2,2,0.0,1.0,0.0,2,0,0,0,0,
/ja,2,2,0.0,1.0,0.0,2,0,0,0,0,
/ja/blog/create-custom-taxonomies-with-acf.html,2,2,0.0,0.0,27.287722,2,0,0,0,0,
/ja/blog/export-import-advanced-custom-fields-csv-wordpress.html,2,1,0.0,0.5,12.521629,2,0,0,0,0,
/ja/blog/how-to-import-csv-file-in-wordpress.html,2,2,0.0,0.5,12.8881185,2,0,0,0,0,
/ja/documentation/wp-ultimate-csv-importer/import-data-from-excel-to-wordpress,2,2,0.0,0.0,31.1885315,2,0,0,0,0,
